employee_id,age,years_experience,salary,department,education_level,hire_date,is_remote,performance_score
58,,12.8,91000.0,Finance,Master,2015-04-26,False,4.1
59,45.0,18.1,110000.0,Engineering,Master,2012-07-08,True,4.4
60,26.0,1.8,46000.0,HR,High School,2022-05-17,False,2.9
61,33.0,7.9,71000.0,Marketing,Bachelor,2018-10-29,False,3.7
62,40.0,14.6,96000.0,Engineering,Master,2014-02-03,False,4.2
63,,4.1,56000.0,Sales,Bachelor,2020-12-08,True,3.1
64,35.0,9.0,75000.0,Finance,Bachelor,2017-06-21,False,3.8
65,48.0,21.9,126000.0,Engineering,PhD,2010-11-14,True,4.5
66,32.0,6.2,63000.0,HR,Bachelor,2019-09-27,False,3.4
67,44.0,17.5,106000.0,Engineering,Master,2013-05-19,False,4.4
68,27.0,2.5,49000.0,Marketing,Bachelor,2021-08-12,True,3.1
69,37.0,11.0,86000.0,Sales,Bachelor,2016-11-05,False,3.7
70,53.0,25.8,137000.0,Finance,PhD,2006-07-23,False,4.7
71,,5.4,61000.0,Engineering,Bachelor,2020-03-16,True,3.3
72,41.0,15.0,98000.0,Engineering,Master,2013-08-30,False,4.2
73,25.0,0.9,43000.0,HR,High School,2023-01-15,False,2.7
74,36.0,10.3,83000.0,Marketing,Master,2016-05-02,False,3.9
75,49.0,22.4,128000.0,Engineering,PhD,2010-02-19,True,4.6
76,28.0,3.7,54000.0,Sales,High School,2021-11-07,False,3.0
77,43.0,16.8,103000.0,Finance,Master,2013-03-24,False,4.3
78,34.0,8.4,73000.0,Engineering,Bachelor,2018-01-09,False,3.8
79,38.0,12.3,90000.0,HR,Master,2015-07-20,True,4.0
80,46.0,19.0,114000.0,Engineering,PhD,2011-10-28,False,4.5
81,31.0,6.0,63000.0,Marketing,Bachelor,2019-11-04,True,3.4
82,55.0,27.5,141000.0,Engineering,PhD,2005-05-17,False,4.8
83,29.0,4.3,57000.0,Sales,Bachelor,2020-10-22,False,3.2
84,39.0,13.0,92000.0,Finance,Master,2014-08-11,False,4.2
85,42.0,15.7,100000.0,Engineering,Master,2014-04-06,True,4.2
86,26.0,1.4,45000.0,HR,High School,2022-07-25,False,2.8
87,35.0,9.4,77000.0,Marketing,Bachelor,2017-09-14,False,3.8
88,50.0,23.5,131000.0,Engineering,PhD,2009-02-28,True,4.6
89,32.0,6.6,65000.0,Sales,Bachelor,2019-06-08,False,3.5
90,44.0,17.0,104000.0,Finance,Master,2013-09-21,False,4.3
91,27.0,2.1,47000.0,Engineering,Bachelor,2022-03-10,True,3.0
92,36.0,10.8,85000.0,Engineering,Bachelor,2016-08-03,False,3.9
93,48.0,21.2,124000.0,Marketing,PhD,2011-04-16,False,4.5
94,30.0,5.2,60000.0,HR,Bachelor,2020-06-29,True,3.3
95,41.0,14.8,97000.0,Finance,Master,2013-12-12,False,4.2
96,25.0,0.7,42000.0,Sales,High School,2023-04-17,False,2.7
97,37.0,11.5,87000.0,Engineering,Bachelor,2016-02-01,False,3.8
98,52.0,24.8,134000.0,Engineering,PhD,2007-10-14,True,4.7
99,29.0,4.6,58000.0,Marketing,Bachelor,2021-03-27,False,3.2
100,38.0,12.0,89000.0,Finance,Master,2015-06-10,False,4.1
101,34.0,8.1,72000.0,Engineering,Bachelor,2018-04-23,True,3.8
102,28.0,3.2,52000.0,HR,High School,2021-10-06,False,3.0
103,45.0,18.3,111000.0,Engineering,Master,2012-08-19,False,4.4
104,43.0,16.2,101000.0,Sales,Master,2013-07-02,False,4.1
105,31.0,5.8,62000.0,Marketing,Bachelor,2020-01-09,True,3.4
106,47.0,20.0,117000.0,Finance,PhD,2010-10-22,False,4.5
107,26.0,1.6,46000.0,HR,High School,2022-06-15,False,2.9
108,39.0,13.4,93000.0,Engineering,Master,2014-11-28,False,4.1
109,33.0,7.7,70000.0,Sales,Bachelor,2018-05-11,False,
110,41.0,15.2,98000.0,Finance,Master,2013-02-24,True,4.2
111,29.0,4.4,57000.0,Marketing,Bachelor,2021-07-07,False,3.2
112,36.0,10.1,83000.0,Engineering,Bachelor,2016-10-20,False,3.9
113,50.0,22.9,130000.0,Engineering,PhD,2009-07-03,True,4.6
114,27.0,2.4,49000.0,HR,Bachelor,2022-02-16,True,3.1
115,40.0,14.3,95000.0,Finance,Master,2014-05-29,False,4.2
116,32.0,6.3,64000.0,Sales,Bachelor,2019-08-12,False,3.4
117,44.0,17.4,105000.0,Engineering,Master,2013-04-04,False,4.3
118,56.0,28.5,144000.0,Engineering,PhD,2004-07-17,False,4.9
119,30.0,5.0,60000.0,Marketing,Bachelor,2020-08-30,True,3.3
120,38.0,12.6,91000.0,HR,Master,2015-03-13,False,4.0
121,46.0,19.2,115000.0,Engineering,PhD,2011-06-26,True,4.5
122,25.0,0.6,41000.0,Sales,High School,2023-05-09,False,2.6
123,35.0,9.1,76000.0,Finance,Bachelor,2017-08-22,False,3.8
124,42.0,15.4,99000.0,Engineering,Master,2013-11-05,False,4.2
125,31.0,5.6,62000.0,Marketing,Bachelor,2019-10-18,True,3.4
126,37.0,11.3,87000.0,Engineering,Bachelor,2016-03-01,False,3.8
127,48.0,21.7,125000.0,Finance,PhD,2010-12-14,False,4.5
128,28.0,3.4,53000.0,HR,High School,2021-08-27,False,3.0
129,43.0,16.6,102000.0,Engineering,Master,2013-06-10,True,4.3
130,26.0,1.3,44000.0,Sales,High School,2022-09-23,False,2.8
131,36.0,10.5,84000.0,Marketing,Master,2016-04-06,False,3.9
132,51.0,23.8,133000.0,Engineering,PhD,2008-01-19,True,4.7
133,33.0,7.6,70000.0,HR,Bachelor,2018-07-02,False,3.6
134,39.0,13.1,92000.0,Finance,Master,2014-10-15,False,4.1
135,29.0,4.2,57000.0,Sales,Bachelor,2021-01-28,False,3.1
136,44.0,17.1,104000.0,Engineering,Master,2013-09-10,False,4.3
137,27.0,2.2,48000.0,Marketing,Bachelor,2022-01-11,True,3.0
138,40.0,14.5,95000.0,Finance,Master,2014-04-24,False,4.2
139,35.0,9.2,76000.0,Engineering,Bachelor,2017-07-07,True,3.8
140,47.0,20.5,119000.0,Engineering,PhD,2010-08-20,False,
141,30.0,5.5,61000.0,HR,Bachelor,2020-04-03,True,3.3
142,38.0,12.4,90000.0,Sales,Bachelor,2015-09-16,False,3.9
143,53.0,25.5,136000.0,Finance,PhD,2006-06-29,False,4.7
144,26.0,1.7,46000.0,Marketing,High School,2022-11-12,False,2.9
145,41.0,14.9,97000.0,Engineering,Master,2014-01-25,False,4.2
146,34.0,8.6,74000.0,HR,Bachelor,2018-03-08,True,3.7
147,29.0,4.7,59000.0,Sales,Bachelor,2020-11-21,False,3.2
148,45.0,18.0,110000.0,Engineering,Master,2012-06-04,True,4.4
149,32.0,6.5,64000.0,Marketing,Bachelor,2019-09-17,False,3.5
150,37.0,11.4,87000.0,Finance,Bachelor,2016-02-28,False,3.8
151,49.0,22.1,127000.0,Engineering,PhD,2010-07-12,True,4.6
152,28.0,3.6,54000.0,HR,High School,2021-12-25,False,
153,43.0,16.4,102000.0,Engineering,Master,2013-04-08,False,4.3
154,25.0,0.8,43000.0,Sales,High School,2023-02-14,False,2.7
155,36.0,10.6,85000.0,Marketing,Master,2016-06-27,True,4.0
156,51.0,24.0,132000.0,Engineering,PhD,2008-11-10,False,4.6
157,31.0,5.7,62000.0,Finance,Bachelor,2019-12-23,False,3.4
158,39.0,13.3,92000.0,Engineering,Master,2014-10-06,False,4.1
159,44.0,17.6,106000.0,HR,Master,2013-07-19,True,4.3
160,27.0,2.6,50000.0,Sales,Bachelor,2022-04-01,False,3.1
161,35.0,9.5,77000.0,Engineering,Bachelor,2017-05-15,False,3.9
162,48.0,21.4,124000.0,Finance,PhD,2010-10-28,False,4.5
163,30.0,5.3,61000.0,Marketing,Bachelor,2020-08-11,True,3.3
164,,15.1,98000.0,Engineering,Master,2013-12-24,False,4.2
165,26.0,1.5,45000.0,HR,High School,2022-08-07,False,2.8
166,37.0,11.1,87000.0,Sales,Bachelor,2016-10-20,False,3.7
167,52.0,24.5,133000.0,Engineering,PhD,2007-12-03,True,4.7
168,33.0,7.8,70000.0,Marketing,Bachelor,2018-09-16,False,3.6
169,40.0,14.2,95000.0,Finance,Master,2014-06-29,False,4.2
170,29.0,4.0,56000.0,Engineering,Bachelor,2021-03-12,True,3.1
171,46.0,19.8,116000.0,Engineering,PhD,2011-08-25,False,4.5
172,31.0,5.9,62000.0,HR,Bachelor,2019-11-08,True,3.4
173,38.0,12.7,91000.0,Sales,Bachelor,2015-05-21,False,3.9
174,55.0,27.8,142000.0,Finance,PhD,2005-08-04,False,
175,27.0,2.3,48000.0,Marketing,Bachelor,2022-01-17,False,3.0
176,42.0,15.6,99000.0,Engineering,Master,2013-11-30,False,4.2
177,34.0,8.3,73000.0,HR,Bachelor,2018-02-13,True,3.7
178,45.0,18.2,111000.0,Engineering,Master,2012-05-26,False,4.4
179,28.0,3.3,53000.0,Sales,High School,2021-10-09,False,3.0
180,36.0,10.4,84000.0,Finance,Bachelor,2016-07-22,False,3.8
181,50.0,23.2,130000.0,Engineering,PhD,2009-04-05,True,4.6
182,25.0,0.9,43000.0,Marketing,High School,2023-03-18,False,2.7
183,39.0,13.5,93000.0,Engineering,Master,2014-09-01,False,4.1
184,44.0,17.3,105000.0,HR,Master,2013-08-14,True,4.3
185,32.0,6.7,65000.0,Sales,Bachelor,2019-07-27,False,3.5
186,47.0,20.3,119000.0,Finance,PhD,2010-11-09,False,4.5
187,26.0,1.4,45000.0,Engineering,High School,2022-06-22,True,2.9
188,35.0,9.3,76000.0,Marketing,Bachelor,2017-10-05,False,3.8
189,,14.7,96000.0,Engineering,Master,2013-12-18,False,4.2
190,,4.1,56000.0,HR,Bachelor,2021-02-01,False,
191,37.0,11.6,88000.0,Sales,Bachelor,2016-04-14,False,3.7
192,53.0,25.9,137000.0,Finance,PhD,2006-05-27,False,4.7
193,30.0,5.2,61000.0,Marketing,Bachelor,2020-09-09,True,3.3
194,40.0,14.4,96000.0,Engineering,Master,2014-03-22,False,4.2
195,27.0,2.0,47000.0,HR,High School,2022-10-05,False,2.9
196,36.0,10.2,83000.0,Sales,Bachelor,2016-09-18,False,3.8
197,48.0,21.6,125000.0,Engineering,PhD,2010-12-01,True,4.5
198,31.0,5.8,62000.0,Marketing,Bachelor,2020-02-14,False,3.4
199,42.0,15.9,100000.0,Finance,Master,2014-05-27,False,4.2
200,25.0,0.5,41000.0,HR,High School,2023-07-01,False,2.6
